排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Max_RPM_分數,Noise_Level_分數
74,貓頭鷹,Noctua NF-A12x25 FLX,12cm 磁軌扇 單顆裝/A.RGB/磁吸拼接/3年保(需搭三顆裝使用),395.4833333,395.1833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
75,華碩,Prime MR120 ARGB(白) 風扇,12cm 磁軌扇 三顆裝/A.RGB/磁吸拼接/2000RPM/3年保,383.65,383.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
76,華碩,Prime MR120 ARGB(白) 反向扇,12cm 磁軌扇 三顆裝/A.RGB/磁吸拼接/2000RPM/3年保,383.65,383.35,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
77,Antec,F12 Racing ARGB 12cm 風扇,12cm 反向扇 三顆裝/A.RGB/磁吸拼接/2000RPM/3年保,382.1916667,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.125
78,Phanteks,D30-120 D-RGB 黑 12cm 風扇(Regular) 單顆裝,12cm 反向扇 三顆裝/A.RGB/磁吸拼接/2000RPM/3年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
79,Phanteks,D30-120 D-RGB 白 12cm 風扇(Regular) 單顆裝,ARGB/無限光圈軸心/1500RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
80,Phanteks,D30-120 D-RGB 黑 12cm 反向扇(Reversed) 單顆裝,ARGB/無限光圈軸心/1500RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
81,Phanteks,D30-120 D-RGB 白 12cm 反向扇(Reversed) 單顆裝,ARGB/無限光圈軸心/1500RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
82,Phanteks,D30-140 D-RGB 黑 14cm 風扇(Regular) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
83,Phanteks,D30-140 D-RGB 白 14cm 風扇(Regular) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
84,Phanteks,D30-140 D-RGB 黑 14cm 反向扇(Reversed) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
85,Phanteks,D30-140 D-RGB 白 14cm 反向扇(Reversed) 單顆裝,ARGB/全幅式無限鏡/1800RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
86,Phanteks,T30,ARGB/圓幅式無限鏡/1500RPM/PWM/三年保,382.15,381.85,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
87,華碩,Prime MR120 ARGB(黑) 風扇,ARGB/圓幅式無限鏡/1500RPM/PWM/三年保,366.9833333,366.6833333,0.016666667,0.016666667,0.016666667,0.166666667,0.083333333
