排名,BRAND,MODEL,detail,總分,price_分數,white_分數,black_分數,RGB light_分數,Radiator_Size_分數,Thermal_Performance_分數,Noise_Level_分數,Fan_Performance_分數
105,華碩,TUF GAMING LC III 360 ARGB LCD(黑),點陣無限鏡冷頭/28mm風扇/厚:5.5/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
106,華碩,TUF GAMING LC III 360 ARGB LCD(白),2.8吋磁吸液晶(附外接套件)/LCP扇葉/厚:5.5/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
107,華碩,ROG STRIX LC III 360 飛龍三代(無光風扇),2.8吋磁吸液晶(附外接套件)/LCP扇葉/厚:5.5/5年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
108,華碩,ROG STRIX LC III 360 ARGB 飛龍三代,琴鍵感鏡面冷頭/厚:5.2cm/3年【WXZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
109,華碩,ROG STRIX LC III 360 ARGB 白龍三代,懸浮螺旋意象冷頭/厚:5.2cm/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
110,華碩,ROG STRIX LC III 360 ARGB LCD 飛龍,懸浮螺旋意象冷頭/厚:5.2cm/3年【WXHYZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
111,華碩,ROG STRIX LC III 360 ARGB LCD 白龍,可旋轉LOGO/厚:5.25cm/5年【WXHYZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
112,華碩,ROG RYUO IV SLC 360 ARGB(黑) 龍王四代,無限鏡燈效/日本製雙滾珠風扇/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
113,華碩,ROG RYUJIN III 360 ARGB Extreme 白龍神,無限鏡燈效/日本製雙滾珠風扇/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
114,華碩,ProArt LC 360 水冷散熱器,無限鏡燈效/日本製雙滾珠風扇/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
115,微星,MAG CoreLiquid A13 360(黑),無限鏡燈效/日本製雙滾珠風扇/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
116,微星,MAG CoreLiquid A13 360(白),A.RGB冷頭+風扇/厚:5.2/3年保【WXZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
117,微星,MPG CoreLiquid P13 360(黑),白/A.RGB/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
118,微星,MPG CoreLiquid P13 360(白),黑/A.RGB/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
119,Montech,HyperFlow Silent 360(黑) 水冷,白/A.RGB/厚:5.2/3年【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
120,Montech,HyperFlow Silent 360(白) 水冷,LGA 4677腳位專用/銅底全覆蓋/3年保【客訂】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
121,Montech,HyperFlow ARGB 360(黑) 水冷,sTR5/SP6 腳位專用/銅底全覆蓋/3年保【客訂】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
122,Montech,HyperFlow ARGB 360(白) 水冷,超薄型設計/厚:3.8/A.RGB冷頭+風扇/2年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
123,COUGAR,POSEIDON ELITE ARGB 360 水冷,模組化線材/微凸銅底/3年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
124,COUGAR,POSEIDON ELITE ARGB 360(白) 水冷,模組化線材/微凸銅底/3年保【WXHZ】,315.35,315,0.0125,0.0125,0.0125,0.125,0.0625,0.0625,0.0625
